Building_Name_English,Building_Name_Traditional_Chinese,Address_English,Address_Traditional_Chinese,COCR_No,BEC_Edition,Issue_Date,Expiry_Date,Remark,Easting,Latitude,Longitude,Northing
"Caritas Medical Centre, Phase 2 (Link Bridge, Lift Tower and Indoor Covered Walkway)","明愛醫院二期 (連接橋，升降機塔及室內走道)","111 Wing Hong Street, Sham Shui Po, Kowloon","九龍深水埗永康街111號","34-07478","2012 (Rev.1)",2016-02-04,2026-02-03,"","833873","22.34095","114.15362","822431"
"The Hemispheres","維峯","1, 1A, 3, 5, 5A, 7 and 7A Gordon Road, Causeway Bay, Hong Kong","香港銅鑼灣歌頓道1, 1A, 3, 5, 5A, 7及7A號","34-01712","2012",2016-02-19,2026-02-18,"","837730","22.28595","114.19106","816340"
"Team Disney Two","迪士尼行政大樓二期","Hong Kong Disneyland Theme Park, Penny's Bay, Lantau Island, Hong Kong","香港大嶼山竹篙灣香港迪士尼主題樂園","34-05879","2012",2016-02-23,2026-02-22,"","835628","22.30181","114.17067","818096"
"Hong Kong Red Cross Headquarters Run Run Shaw Building","香港紅十字會總部邵逸夫樓","19 Hoi Ting Road, Kowloon","九龍海庭道19號","34-06330","2012",2016-02-24,2026-02-23,"","834770","22.31455","114.16234","819507"
"62 Begonia Road","海棠路62號","62 Begonia Road, Kowloon Tong, Kowloon","九龍九龍塘海棠路62號","34-06529","2012",2016-02-26,2026-02-25,"","835759","22.3317","114.17193","821406"
"Global Gateway Tower","Global Gateway Tower","61A-61E and 63 Wing Hong Street, Cheung Sha Wan, Kowloon","九龍長沙灣永康街61A-61E及63號","34-01429","2012",2016-02-26,2026-02-25,"","833314","22.3392","114.1482","822236"
"Yoo Residence","Yoo Residence","33 Tung Lo Wan Road, Causeway Bay, Hong Kong","香港銅鑼灣銅鑼灣道33號","34-01876","2012",2016-03-07,2026-03-06,"","837508","22.27893","114.1889","815563"
"Kau To Highland","九肚山峰","39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75 & 77 Lai Ping Road, Sha Tin, N.T.","新界沙田麗坪路39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75 及 77號","34-07460","2012",2016-03-14,2026-03-13,"","838718","22.4147","114.20067","830597"
"Proposed Comprehensive Development at STTL 502, Lok Wo Sha, New Territories, Phase 4 & 5 – Phase 4 Podium","新界，馬鞍山，落禾沙綜合發展項目，地段編號502，第4及5期–第4期平台","8 Wu Kai Sha Road, Ma On Shan, N.T.","新界馬鞍山烏溪沙路8號","34-01527","2012",2016-03-14,2026-03-13,"","842263","22.40967","114.2351","830041"
"Tsuen Wan Adventist Hospital Extension","香港港安醫院─荃灣","199 Tsuen King Circuit, Tsuen Wan, N.T.","新界荃灣荃景圍199號","34-02686","2012",2016-03-15,2026-03-14,"","837010","22.26326","114.18407","813827"
"Club Dragons, Dragons Range","玖瓏山 玖瓏薈","33 Lai Ping Road, Sha Tin, N.T.","新界沙田麗坪路33號","34-06863","2012",2016-03-18,2026-03-17,"","838600","22.41405","114.19953","830526"
"My Place","喜點","123 Pak Tai Street, Ma Tau Kok, Kowloon","九龍馬頭角北帝街123號","34-05942","2012",2016-03-21,2026-03-20,"","837531","22.32307","114.18913","820451"
"Wan Chai Swimming Pool","灣仔游泳池","27 Harbour Road, Wan Chai, Hong Kong","香港灣仔港灣道27號","34-06235","2012",2016-03-24,2026-03-23,"","836202","22.28112","114.17624","815805"
"Queen's Road West 118 to122 Building","皇后大道西118 to 122號大廈","118-122 Queen's Road West, Sai Yin Pun, Hong Kong","香港西營盤皇后大道西118-122號","34-06859","2012",2016-03-29,2026-03-28,"","835608","22.27601","114.17047","815239"
"CM+","CM+","16 Connaught Road West, Sheung Wan, Hong Kong","香港上環干諾道西16號","34-10981","2012 (Rev.1)",2016-03-30,2026-03-29,"","833457","22.28764","114.1496","816527"
"3 Julia Avenue","棗梨雅道3號","116 Argyle Street and 3 Julia Avenue, Mong Kok, Kowloon","九龍旺角亞皆老街116號及棗梨雅道3號","34-05983","2012",2016-03-30,2026-03-29,"","836110","22.3201","114.17534","820122"
"Waterfront Plaza Performance Venue, Ocean Park","Waterfront Plaza Performance Venue, Ocean Park","180 Wong Chuk Hang Road, Aberdeen, Hong Kong","香港香港仔黃竹坑道180號","34-16443","2012 (Rev.1)",2016-04-05,2026-04-04,"","837993","22.31923","114.19362","820025"
"Kings Wing Plaza 1","京瑞廣場1期","3 On Kwan Street, Shek Mun, Sha Tin, N.T.","新界沙田石門安群街3號","34-05965","2012",2016-04-05,2026-04-04,"","839450","22.3878","114.20778","827619"
"Fire and Ambulance Services Academy: Compartment Fire Behavior Training Centre & Fire Science Centre","消防及救護學院：室內煙火特性訓練中心及消防科學中心","No. 11, Pak Shing Kok Road, Tseung Kwan O, N.T.","新界將軍澳百勝角路11號","34-06821","2012",2016-04-05,2026-04-04,"","846102","22.30853","114.27231","818844"
"High One Grand","曉盈","188 Fuk Wing Street, Sham Shui Po, Kowloon","九龍深水埗福榮街188號","34-01773","2012",2016-04-05,2026-04-04,"","834590","22.33381","114.16059","821640"
"Surfside Villa","聽濤小築","45 Castle Peak Road, Castle Peak Bay, Tuen Mun, N.T.","新界屯門青山灣青山公路45號","34-06684","2012",2016-04-15,2026-04-14,"","839329","22.21713","114.20656","808720"
"Mayfair By The Sea II - Tower 10","逸瓏灣 II 大廈第十座","21 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路21號","34-02370","2012",2016-04-15,2026-04-14,"","839283","22.4313","114.20616","832436"
"Mayfair By The Sea II - Tower 11","逸瓏灣 II 大廈第十一座","21 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路21號","34-07221","2012",2016-04-15,2026-04-14,"","839283","22.4313","114.20616","832436"
"Mayfair By The Sea II - Tower 12","逸瓏灣 II 大廈第十二座","21 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路21號","34-07222","2012",2016-04-15,2026-04-14,"","839283","22.4313","114.20616","832436"
"Mayfair By The Sea II - Tower 15","逸瓏灣 II 大廈第十五座","21 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路21號","34-07223","2012",2016-04-15,2026-04-14,"","839283","22.4313","114.20616","832436"
"Mayfair By The Sea I - Tower 16","逸瓏灣 I 大廈第十六座","23 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路23號","34-07224","2012",2016-04-15,2026-04-14,"","839406","22.43068","114.20735","832367"
"Mayfair By The Sea I - Tower 17","逸瓏灣 I 大廈第十七座","23 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路23號","34-07225","2012",2016-04-15,2026-04-14,"","839406","22.43068","114.20735","832367"
"Mayfair By The Sea I - Tower 18","逸瓏灣 I 大廈第十八座","23 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路23號","34-07226","2012",2016-04-15,2026-04-14,"","839406","22.43068","114.20735","832367"
"Mayfair By The Sea I - Tower 19","逸瓏灣 I 大廈第十九座","23 Fo Chun Road, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角科進路23號","34-07227","2012",2016-04-15,2026-04-14,"","839406","22.43068","114.20735","832367"
"Fire and Ambulance Services Academy: Driving Training Centre","消防及救護學院：駕駛訓練中心","No. 11, Pak Shing Kok Road, Tseung Kwan O, N.T.","新界將軍澳百勝角路11號","34-06823","2012",2016-04-22,2026-04-21,"","846290","22.30788","114.27414","818772"
"Kwai Wah House","貴華樓","Intersection between Ngau Tau Kok Road and Fuk To Street, Kwun Tong, Kowloon","九龍觀塘牛頭角道與福淘街交界","34-01539","2012",2016-05-04,2026-05-03,"","840297","22.32312","114.21598","820457"
"Riverwalk - Residential Block 1","銀河灣畔 ─第一座","No. 6 Ngan Kwong Wan Road, Mui Wo, N.T.","新界梅窩銀礦灣路6號","34-07922","2012 (Rev.1)",2016-05-06,2026-05-05,"","817730","22.26583","113.99702","814122"
"Riverwalk - Residential Block 2","銀河灣畔 ─第二座","No. 6 Ngan Kwong Wan Road, Mui Wo, N.T.","新界梅窩銀礦灣路6號","34-07923","2012 (Rev.1)",2016-05-06,2026-05-05,"","817730","22.26583","113.99702","814122"
"Riverwalk - Residential Block 3","銀河灣畔 ─第三座","No. 6 Ngan Kwong Wan Road, Mui Wo, N.T.","新界梅窩銀礦灣路6號","34-07924","2012 (Rev.1)",2016-05-06,2026-05-05,"","817730","22.26583","113.99702","814122"
"Riverwalk - Residential Block 5","銀河灣畔 ─第五座","No. 6 Ngan Kwong Wan Road, Mui Wo, N.T.","新界梅窩銀礦灣路6號","34-07925","2012 (Rev.1)",2016-05-06,2026-05-05,"","817730","22.26583","113.99702","814122"
"Riverwalk - Residential Block 6","銀河灣畔 ─第六座","No. 6 Ngan Kwong Wan Road, Mui Wo, N.T.","新界梅窩銀礦灣路6號","34-07926","2012 (Rev.1)",2016-05-06,2026-05-05,"","817730","22.26583","113.99702","814122"
"Riverwalk - Residential Block 7","銀河灣畔 ─第七座","No. 6 Ngan Kwong Wan Road, Mui Wo, N.T.","新界梅窩銀礦灣路6號","34-07927","2012 (Rev.1)",2016-05-06,2026-05-05,"","817730","22.26583","113.99702","814122"
"Riverwalk - Commercial Area","銀河灣畔 ─商用","No. 6 Ngan Kwong Wan Road, Mui Wo, N.T.","新界梅窩銀礦灣路6號","34-07928","2012 (Rev.1)",2016-05-06,2026-05-05,"","817752","22.26582","113.99723","814122"
"Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School Madam Wong Liu Wai Man Building","香港浸會大學附屬學校王錦輝中小學王廖惠文大樓","6 On Muk Lane, Shek Mun, N.T.","新界石門安睦里6號","34-07851","2012 (Rev.1)",2016-05-12,2026-05-11,"","839659","22.38815","114.2098","827657"
"HSMC Jockey Club Residential Colleges, Block C","恒生管理學院賽馬會住宿書院C座","Hang Shin Link, Sha Tin, N.T.","新界沙田行善里","34-07423","2012 (Rev.1)",2016-05-13,2026-05-12,"","840037","22.37723","114.21347","826448"
"HSMC Jockey Club Residential Colleges, Block B","恒生管理學院賽馬會住宿書院B座","Hang Shin Link, Sha Tin, N.T.","新界沙田行善里","34-07424","2012 (Rev.1)",2016-05-13,2026-05-12,"","840037","22.37723","114.21347","826448"
"HSMC Jockey Club Residential Colleges, Block A","恒生管理學院賽馬會住宿書院A座","Hang Shin Link, Sha Tin, N.T.","新界沙田行善里","34-07425","2012 (Rev.1)",2016-05-13,2026-05-12,"","840037","22.37723","114.21347","826448"
"HSMC Jockey Club Residential Colleges, Podium","恒生管理學院賽馬會住宿書院平台","Hang Shin Link, Sha Tin, N.T.","新界沙田行善里","34-07326","2012 (Rev.1)",2016-05-13,2026-05-12,"","840037","22.37723","114.21347","826448"
"Tung Koon School - New Annex School Block","東莞學校 ─新附樓","Jockey Club Road, Sheung Shui, N.T.","新界上水馬會道","34-06302","2012",2016-05-23,2026-05-22,"","831582","22.50268","114.13134","840341"
"Kam Tsin Village Ho Tung School - New Annex School Block","金錢村何東學校 ─新附樓","Kam Tsin Village, Sheung Shui, N.T.","新界上水金錢村","34-06556","2012",2016-05-23,2026-05-22,"","829598","22.50204","114.11205","840270"
"Vertical Sq","嘉尚匯","28 Heung Yip Road, Aberdeen, Hong Kong","香港香港仔香葉道28號","34-06389","2012",2016-05-23,2026-05-22,"","835102","22.24797","114.16556","812134"
"Precious Blood Children's Village Multi-Function Centre","寶血兒童村多功能活動中心","No.1 Bridge, Lung Yeuk Tau, Fanling, N.T.","新界粉嶺龍躍頭一號橋","34-06834","2012",2016-05-23,2026-05-22,"","833461","22.50539","114.14959","840640"
"Fire and Ambulance Services Academy: Guard Post","消防及救護學院：警衞室","No. 11, Pak Shing Kok Road, Tseung Kwan O, N.T.","新界將軍澳百勝角路11號","34-06822","2012",2016-05-24,2026-05-23,"","846102","22.30853","114.27231","818844"
"No. 30 Wellington Street","威靈頓街30號","30 Wellington Street, Central, Hong Kong","香港中環威靈頓街30號","34-07867","2012 (Rev.1)",2016-05-25,2026-05-24,"","834083","22.28135","114.15567","815831"
"Heya Star (Podium)","喜韻(平台)","368 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道368號","34-01628","2012",2016-05-27,2026-05-26,"","844663","22.32041","114.25835","820158"
"Heya Star (Tower 1)","喜韻(一座)","368 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道368號","34-16527","2012",2016-05-27,2026-05-26,"","834090","22.33912","114.15573","822227"
"Heya Star (Tower 2)","喜韻(二座)","368 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道368號","34-16528","2012",2016-05-27,2026-05-26,"","834090","22.33912","114.15573","822227"
"Tower 535","Tower 535","No. 535 Jaffe Road, Causeway Bay, H.K.","香港銅鑼灣謝斐道535號","34-05950","2012",2016-05-27,2026-05-26,"","836990","22.28136","114.18388","815831"
"Domus, 65 Tan Kwai Tsuen Road, Yuen Long, New Territories","尚築，新界元朗丹桂村路65號","65 Tan Kwai Tuen Road, Yuen Long, N.T.","新界元朗丹桂村路65號","34-07714","2012 (Rev.1)",2016-05-30,2026-05-29,"","817971","22.42901","113.99914","832193"
"Carpark, 65-89 Tan Kwai Tsuen Road, Yuen Long, New Territories","新界元朗丹桂村路65-89號停車場","65-89 Tan Kwai Tuen Road, Yuen Long, N.T.","新界元朗丹桂村路65-89號","34-07715","2012 (Rev.1)",2016-06-03,2026-06-02,"","817914","22.42769","113.99859","832046"
"Club House, 65-89 Tan Kwai Tsuen Road, Yuen Long, New Territories","新界元朗丹桂村路65-89號會所","65-89 Tan Kwai Tuen Road, Yuen Long, N.T.","新界元朗丹桂村路65-89號","34-07713","2012 (Rev.1)",2016-06-03,2026-06-02,"","817995","22.42873","113.99938","832162"
"Parkes Residence","珀軒","101 Parkes Street, Jordan, Kowloon","九龍佐敦白加士街101號","34-06979","2012",2016-06-03,2026-06-02,"","835628","22.30612","114.17066","818574"
"Proposed Commercial Building at 29A Granville Road","Proposed Commercial Building at 29A Granville Road","No. 29A Granville Road, Tsim Sha Tsui, Kowloon","九龍尖沙咀加連威老道29A號","34-06056","2012",2016-06-06,2026-06-05,"","835968","22.30012","114.17396","817909"
"Empire Classic Causeway Bay","Empire Classic Causeway Bay","8A Wing Hing Street, Causeway Bay, Hong Kong","香港銅鑼灣永興街8A號","34-06622","2012",2016-06-07,2026-06-06,"","837856","22.28514","114.19228","816251"
"W50","W50","50 Wong Chuk Hang Road, Aberdeen, Hong Kong","香港香港仔黃竹坑道50號","34-16059","2012 (Rev.1)",2016-06-16,2026-06-15,"","835324","22.249","114.16771","812249"
"煥然壹居 (L1座)","煥然壹居 (L1座)","3 Muk Chui Street, Kai Tak, Kowloon","九龍啓德沐翠街3號","34-02112","2012",2016-06-21,2026-06-20,"","838823","22.33062","114.20167","821286"
"煥然壹居 (H1座)","煥然壹居 (H1座)","3 Muk Chui Street, Kai Tak, Kowloon","九龍啓德沐翠街3號","34-02117","2012",2016-06-21,2026-06-20,"","838850","22.33089","114.20193","821317"
"煥然壹居 (H2座)","煥然壹居 (H2座)","3 Muk Chui Street, Kai Tak, Kowloon","九龍啓德沐翠街3號","34-02119","2012",2016-06-21,2026-06-20,"","838823","22.33093","114.20168","821321"
"煥然壹居 (H3座)","煥然壹居 (H3座)","3 Muk Chui Street, Kai Tak, Kowloon","九龍啓德沐翠街3號","34-02123","2012",2016-06-21,2026-06-20,"","838798","22.33087","114.20143","821314"
"煥然壹居 (地庫)","煥然壹居 (地庫)","3 Muk Chui Street, Kai Tak, Kowloon","九龍啓德沐翠街3號","34-02127","2012",2016-06-21,2026-06-20,"","838780","22.33102","114.20126","821331"
"煥然壹居 (商用部份)","煥然壹居 (商用部份)","3 Muk Chui Street, Kai Tak, Kowloon","九龍啓德沐翠街3號","34-02128","2012",2016-06-21,2026-06-20,"","838780","22.33102","114.20126","821331"
"Shui Chuen O Plaza (South Block)","水泉澳廣場 (南翼)","Pok Chuen Street, Sha Tin, N.T.","新界沙田博泉街","34-01331","2012",2016-06-22,2026-06-21,"","838349","22.3731","114.19708","825991"
"Shui Chuen O Plaza (North Block)","水泉澳廣場 (北翼)","Pok Chuen Street, Sha Tin, N.T.","新界沙田博泉街","34-02303","2012",2016-06-22,2026-06-21,"","838349","22.3731","114.19708","825991"
"The Parkside (Tower 1)","The Parkside (Tower 1)","No. 18 Tong Chun Street, Tseung Kwan O, N.T.","新界將軍澳唐俊街18號","34-05978","2012",2016-07-05,2026-07-04,"","844902","22.30517","114.26066","818470"
"The Parkside (Tower 2)","The Parkside (Tower 2)","No. 18 Tong Chun Street, Tseung Kwan O, N.T.","新界將軍澳唐俊街18號","34-05979","2012",2016-07-05,2026-07-04,"","844897","22.30545","114.26062","818501"
"The Parkside (Tower 3)","The Parkside (Tower 3)","No. 18 Tong Chun Street, Tseung Kwan O, N.T.","新界將軍澳唐俊街18號","34-05980","2012",2016-07-05,2026-07-04,"","844929","22.30551","114.26093","818508"
"The Parkside (Podium)","The Parkside (Podium)","No. 18 Tong Chun Street, Tseung Kwan O, N.T.","新界將軍澳唐俊街18號","34-05981","2012",2016-07-05,2026-07-04,"","844895","22.30524","114.26059","818478"
"THE PARKHILL - Recreational Facilities Floor and Lower Ground Floor","柏 - 住宅康樂設施層及地下低層","138 Tong Yan San Tsuen Road, Yuen Long, N.T.","新界元朗唐人新村路138號","34-06091","2012 (Rev.1)",2016-07-14,2026-07-13,"","847724","22.30839","114.28806","818829"
"THE PARKHILL - Tower 1","柏 - 第1座","138 Tong Yan San Tsuen Road, Yuen Long, N.T.","新界元朗唐人新村路138號","34-16648","2012 (Rev.1)",2016-07-14,2026-07-13,"","836469","22.36414","114.17882","824998"
"THE PARKHILL - Tower 2","柏 - 第2座","138 Tong Yan San Tsuen Road, Yuen Long, N.T.","新界元朗唐人新村路138號","34-16649","2012 (Rev.1)",2016-07-14,2026-07-13,"","839050","22.29053","114.20387","816848"
"THE PARKHILL - Tower 3","柏 - 第3座","138 Tong Yan San Tsuen Road, Yuen Long, N.T.","新界元朗唐人新村路138號","34-16650","2012 (Rev.1)",2016-07-14,2026-07-13,"","836547","22.36384","114.17958","824965"
"THE PARKHILL - Tower 5","柏 - 第5座","138 Tong Yan San Tsuen Road, Yuen Long, N.T.","新界元朗唐人新村路138號","34-16651","2012 (Rev.1)",2016-07-14,2026-07-13,"","836608","22.36456","114.18018","825044"
